,formula_pretty,band_gap
0,AcAlO3,4.1024
1,AcBr3,4.103299999999999
2,AcBrO,4.241
3,AcCl3,5.0865
4,AcClO,4.4451
5,AcF3,7.4101
6,AcF3,6.162600000000001
7,AcOF,4.256600000000001
8,AgB(CN)4,4.2798
9,AgSbC2N2(ClF3)2,4.2664
10,Al(BH4)3,6.2431
11,Al(CN)3,5.1114999999999995
12,Al(CN)3,4.862
13,Al(HO)3,4.9007000000000005
14,Al(HO)3,5.7600999999999996
15,Al(HO)3,5.0975
16,Al(HO)3,4.9076
17,Al(HO)3,5.0085
18,Al(HO)3,4.9269
19,Al(HO)3,5.0602
20,Al(HO)3,5.2187
21,Al(HO)3,4.9472000000000005
22,Al(HO)3,4.9764
23,Al(HO)3,5.2193000000000005
24,Al(HO)3,4.6615
25,Al(HO)3,4.8633
26,Al(HO)3,4.7202
27,Al(HO)3,4.8775
28,Al(HO)3,4.3037
29,Al(HO)3,4.5931999999999995
30,Al(HO)3,4.614999999999999
31,Al(HO)3,4.3399
32,Al(HO)3,4.9129000000000005
33,Al(HO)3,4.7632
34,Al(HO)3,4.9443
35,Al(HO)3,5.002
36,Al(HO)3,4.9815000000000005
37,Al(HO)3,5.081799999999999
38,Al(HO)3,4.697299999999999
39,Al(HO)3,4.5759
40,Al(HO)3,4.9816
41,Al(HO)3,4.748200000000001
42,Al(HO)3,4.8222000000000005
43,Al(HO)3,5.0094
44,Al(HO)3,4.2797
45,Al(HO)3,4.9382
46,Al(HO)3,5.8109
47,Al(PO3)3,5.8176
48,Al(PO3)3,5.6283
49,Al(PO3)3,5.625
50,Al(PO3)3,5.512499999999999
51,Al10ZnO16,4.2410000000000005
52,Al11NO15,4.052200000000001
53,Al11TlO17,4.585100000000001
54,Al12PbO19,4.518599999999999
55,Al13Si5H18ClO38,4.268800000000001
56,Al17(NO7)3,4.033499999999999
57,Al2(SO4)3,5.6887
58,Al2(SO4)3,6.0272
59,Al2(WO4)3,4.5648
60,Al2(WO4)3,4.5569
61,Al2(WO4)3,4.8089
62,Al2(WO4)3,4.619
63,Al2B3HO8,5.5664
64,Al2FeP2(HO)18,4.0407
65,Al2Ga(PO4)3,5.0458
66,Al2Ge(O2F)2,4.0658
67,Al2H10S3O17,5.8229
68,Al2H12(SeO5)3,4.7445
69,Al2H12(SeO5)3,4.6404
70,Al2H15SClO13,5.3509
71,Al2H16S3O20,5.397799999999999
72,Al2H18SO15,4.9787
73,Al2H32S3O28,4.6645
74,Al2O3,5.853700000000001
75,Al2O3,4.5868
76,Al2O3,4.003399999999999
77,Al2O3,4.084
78,Al2O3,4.0581
79,Al2O3,5.313199999999999
80,Al2O3,4.8274
81,Al2O3,4.843500000000001
82,Al2O3,4.1416
83,Al2O3,4.2487
84,Al2O3,4.4553
85,Al2O3,4.0173000000000005
86,Al2O3,4.2347
87,Al2O3,4.369999999999999
88,Al2O3,5.6671
89,Al2O3,4.205500000000001
90,Al2O3,4.176499999999999
91,Al2O3,5.4924
92,Al2O3,4.0029
93,Al2O3,4.069800000000001
94,Al2O3,5.2156
95,Al2O3,5.4415000000000004
96,Al2O3,5.0606
97,Al2O3,4.8041
98,Al2P2H8C2NO8F,5.4001
99,Al2P2H9NO11,5.2978000000000005
100,Al2P3(HO3)3,6.2699
101,Al2P3H11O13,5.8945
102,Al2P3H12(NO4)3,4.8218
103,Al2P3H17C4(NO6)2,5.226100000000001
104,Al2P3H9(CO3)3,4.7339
105,Al2PH3O7,5.2448
106,Al2Pb3F12,5.1837
107,Al2Si(O2F)2,5.6953
108,Al2Si2H4O9,4.506500000000001
109,Al2Si2H4O9,4.2256
110,Al2Si2H4O9,4.9663
111,Al2Si2H4O9,4.866300000000001
112,Al2Si2H4O9,5.161
113,Al2Si2H4O9,4.9007000000000005
114,Al2Si2H4O9,4.9329
115,Al2Si2O7,5.0535000000000005
116,Al2Si2PbO8,4.3038
117,Al2Si2PbO8,4.2743
118,Al2Si2PbO8,4.2501
119,Al2Si2PbO8,4.296
120,Al2Si3H8(NO5)2,4.5025
121,Al2Si3H8(NO5)2,4.576099999999999
122,Al2Si4O11,4.1738
123,Al2SiO5,4.1102
124,Al2SiO5,4.8382000000000005
125,Al2SiO5,4.992799999999999
126,Al2SiO5,5.4037999999999995
127,Al2SiO5,4.0672
128,Al2SiO5,5.389900000000001
129,Al2SiO5,5.4620999999999995
130,Al3Bi(BO3)4,4.162300000000001
131,Al3NO3,4.146599999999999
132,Al3NO3,4.0828999999999995
133,Al3P2H14(O5F)3,5.1585
134,Al3P3H7CNO13,5.2306
135,Al3P3H9C2NO13,5.1942
136,Al3P3H9C3NO14,4.958200000000001
137,Al3P4H18C3N3O16,5.2174000000000005
138,Al3Pb5F19,5.1029
139,Al3Pb5F19,5.137600000000001
140,Al3Pb5F19,4.8519
141,Al3Pb5F19,5.1203
142,Al3Pb5F19,5.0305
143,Al3Si2H3O10,5.476000000000001
144,Al4(B2O5)3,5.8172999999999995
145,Al4P3(HO5)3,5.5706
146,Al4Si2H(O3F)3,5.429900000000001
147,Al4Si2H(O3F)3,5.355500000000001
148,Al4Zn4P8H13N3O32,4.1775
149,Al5BO9,4.9384999999999994
150,Al5HO8,4.7661
151,Al5HO8,4.3283000000000005
152,Al6B5(O5F)3,6.114699999999999
153,Al6H16C5(Cl2O)6,5.515700000000001
154,Al7Si3BO18,4.581100000000001
155,Al8P8H34N7O36F5,4.9925999999999995
156,Al8P8H34N7O36F5,5.0876
157,Al8P8H34N7O36F5,4.8724
158,Al8SiO14,4.0737000000000005
159,Al9Si2BO19,4.973700000000001
160,AlAsO4,4.2634
161,AlB2H18C4N,5.5447
162,AlB3(H5N)6,5.5390999999999995
163,AlB5H16(NO7)2,4.7254000000000005
164,AlBO3,5.8392
165,AlBP2H5NO9,5.068999999999999
166,AlBr3,4.0992
167,AlCl3,5.263
168,AlClO,5.593999999999999
169,AlF3,7.4257
170,AlF3,7.4904
171,AlF3,7.4905
172,AlF3,5.6276
173,AlF3,5.4932
174,AlF3,5.5824
175,AlF3,7.4507
176,AlF3,7.4477
177,AlF3,7.3085
178,AlF3,7.6012
179,AlF3,7.4176
180,AlF3,7.5230999999999995
181,AlF3,6.7775
182,AlF3,7.420299999999999
183,AlFeF5,4.2584
184,AlGa(PO4)2,4.8858
185,AlGa(SO4)3,4.4475999999999996
186,AlGaCl4,4.2234
187,AlH10C3N,4.7222
188,AlH10C3N,4.918900000000001
189,AlH10C3N6OF5,4.4482
190,AlH10N2OF5,6.1343
191,AlH10SO9F,5.459199999999999
192,AlH11SO10,5.5356000000000005
193,AlH12(ClO2)3,5.1391
194,AlH12(NF2)3,5.861000000000001
195,AlH12(OF)5,6.3213
196,AlH12(OF)5,4.4686
197,AlH12C4NF4,7.0013000000000005
198,AlH14C4NOF4,5.1838
199,AlH15(NF)6,5.523
200,AlH15(OF)6,6.1309000000000005
201,AlH15Br3N5,4.3958
202,AlH15N5Cl3,4.6579999999999995
203,AlH18C3(N3F2)3,5.3017
204,AlH18C6N2Cl3,5.384399999999999
205,AlH18CS2N3O14,5.2842
206,AlH20C2S2NO14,5.595599999999999
207,AlH21C3(SO5)3,5.3382
208,AlH2Pb3OF9,4.6703
209,AlH2PbO2F3,4.496700000000001
210,AlH3NCl3,5.1434
211,AlH4NF4,6.654
212,AlH4NF4,6.8114
213,AlH5(SeO4)2,4.4382
214,AlH6BrO4,4.837899999999999
215,AlH6C2SeCl3,4.6429
216,AlH6ClO4,5.1309000000000005
217,AlH6IO4,4.2593
218,AlH6N2Cl3,5.0498
219,AlH6N2F3,5.8134999999999994
220,AlH7C2SCl4,4.6652000000000005
221,AlH8C2N,5.175000000000001
222,AlH8C3NCl2,5.326700000000001
223,AlH8N2O2F5,6.0133
224,AlHO2,5.9138
225,AlHO2,5.6572000000000005
226,AlHO2,5.286
227,AlHO2,5.0197
228,AlHO2,4.4054
229,AlHO2,5.546000000000001
230,AlHO2,5.495400000000001
231,AlHO2,4.8339
232,AlHO2,4.721100000000001
233,AlHSO5,5.6906
234,AlInCl4,4.186100000000001
235,AlN,4.417499999999999
236,AlN,4.0467
237,AlNiH16N(OF)6,5.667
238,AlOF,5.2551
239,AlP(H2O3)2,5.4239
240,AlP(H2O3)2,5.6262
241,AlP2H12N3O8,4.6888
242,AlP2H16C2N3O8,4.8646
243,AlP2H18(C2Cl)3,4.8347
244,AlP2H4O8F,5.7046
245,AlP2H4O8F,5.4863
246,AlP2H5O9,5.5286
247,AlP3(HO2)6,5.4786
248,AlP3(HO5)2,5.7893
249,AlP3H10O11,6.0489999999999995
250,AlPH8(CCl2)2,5.4006
251,AlPH9(CCl)3,5.6312
252,AlPO4,5.4925999999999995
253,AlPO4,5.556900000000001
254,AlPO4,5.2949
255,AlPO4,5.6414
256,AlPO4,5.477899999999999
257,AlPO4,5.6258
258,AlPO4,4.970000000000001
259,AlPO4,5.459099999999999
260,AlPO4,5.6177
261,AlPO4,5.475
262,AlPO4,5.6187000000000005
263,AlPO4,5.6739999999999995
264,AlPO4,5.612
265,AlPO4,5.3232
266,AlPO4,5.6724
267,AlPO4,5.483700000000001
268,AlPO4,5.671200000000001
269,AlPO4,5.5478000000000005
270,AlPO4,5.667
271,AlPO4,5.6583000000000006
272,AlPO4,5.4534
273,AlPO4,5.4597
274,AlPO4,5.2768999999999995
275,AlPO4,5.6341
276,AlPO4,5.662
277,AlPO4,5.479900000000001
278,AlPO4,5.4968
279,AlPO4,5.5343
280,AlPO4,5.4878
281,AlPO4,5.508
282,AlPO4,5.4284
283,AlPO4,5.5568
284,AlPO4,5.4279
285,AlPO4,5.5534
286,AlPO4,5.5405999999999995
287,AlPO4,5.669599999999999
288,AlPbF5,5.2623
289,AlSiH11C3O,4.9837
290,AlSiH9C3Cl2O,5.6642
291,AlSiHO4,5.571899999999999
292,AlSnPH18(C3Cl2)2,5.2635000000000005
293,AlTl(SO4)2,4.9822
294,AlTl2F5,4.0684
295,AlTl2F5,4.0476
296,AlTl2F5,4.0814
297,AlTl2F5,4.2238
298,AlTlBr4,4.0998
299,AlTlCl4,4.7337
300,AlTlF4,4.433300000000001
301,AlTlF4,4.2399000000000004
302,AlTlF4,4.2492
303,AlTlSi3O8,4.586
304,AlTlSiO4,4.0809999999999995
305,AlZnB5H16C4(N2O5)2,4.4958
306,AlZnB5H20C5(NO2)5,4.5107
307,AlZnB5H21C6(NO2)5,4.6496
308,AlZnH16N(OF)6,5.195
309,AlZnH4O2F5,4.558
310,AlZnH4O2F5,5.0839
311,Ar,8.5132
312,Ar,8.489799999999999
313,As(CN)3,4.4542
314,As(CN)3,4.728
315,As2(SO4)3,4.5714
316,As2H3CF9,4.2415
317,As2H6CO6,4.087899999999999
318,As2HPbF13,4.399900000000001
319,As2O3,4.0339
320,As2O3,4.0234000000000005
321,As2PHCl3F11,4.5211
322,As2PHO6,4.0859000000000005
323,As2S2O9,4.0567
324,As2S2O9,4.0514
325,As2SO6,4.417199999999999
326,AsC2N(OF3)2,4.6508
327,AsCSF11,4.5408
328,AsF3,5.359999999999999
329,AsF5,4.6002
330,AsH18N3O7,4.1888
331,AsH2SNF10,4.6288
332,AsH3C(OF3)2,5.2115
333,AsH3C(OF3)2,5.238300000000001
334,AsH3CNOF9,4.9219
335,AsH3OF6,4.8445
336,AsH4CNF8,5.0872
337,AsH5C2(OF3)2,5.2271
338,AsH5COF6,5.0561
339,AsH6N2F5,5.192
340,AsH6NO4,4.2445
341,AsH6NO4,4.1512
342,AsPCl3OF5,4.536899999999999
343,AsPHCl3OF6,4.9259
344,AsPO4,4.576
345,AsPbF7,4.0652
346,AsS2NF10,4.5233
347,B(HO)2,4.79
348,B(HO)2,4.65
349,B(HO)3,6.0572
350,B(HO)3,6.0809
351,B10H11C2,6.035
352,B10H11C2,5.749499999999999
353,B10H12C3O2,4.7316
354,B10H14C10S(OF2)3,4.337199999999999
355,B12H21C4S2I,4.1333
356,B13H27C6S3F4,5.3274
357,B20H42N4O3,4.4239
358,B2AsH13C3Br3N,4.675000000000001
359,B2H10C2NClO3,4.0008
360,B2H12C3(NO)6,4.589700000000001
361,B2H26C8N20Cl2O,4.1207
362,B2H4C,4.5776
363,B2H5,6.2615
364,B2H8N,5.6386
365,B2NCl3,4.3775
366,B2O3,4.1254
367,B2O3,4.2258
368,B2O3,4.0799
369,B2O3,4.4325
370,B2O3,4.4806
371,B2O3,6.3017
372,B2O3,8.3751
373,B2PH20C5N,5.0846
374,B2S2O9,6.6956
375,B3H10N,5.9859
376,B3H12N,5.4716000000000005
377,B3H20(CN)3,5.413600000000001
378,B3H4NO5,5.5239
379,B3H5N3,4.8954
380,B3H5N3,4.5813999999999995
381,B3H7CO,4.0448
382,B4CCl6O,4.0708
383,B4COF6,4.9195
384,B4PF9,5.712
385,B4PbO7,4.208499999999999
386,B5H11,4.6651
387,B5H12C2NO10,5.6887
388,B5H12NO12,5.5022
389,B5H15C3N,4.1616
390,B5H4NO8,5.7298
391,B5H5CI,4.2014
392,B5H8,5.4267
393,B5H9,5.964700000000001
394,B5H9,5.9591
395,B5H9,5.709300000000001
396,B5PH4Cl,4.1342
397,B6H10C2SBr,4.5166
398,B6H10N,5.6566
399,B6H13CN4,5.2596
400,B6H21C5N2O,4.4939
401,B8H4PbO15,4.763299999999999
402,B9H8S,4.0429
403,BAsH13C3N,4.006
404,BAsH4NO4F,4.3662
405,BAsO4,4.2615
406,BCl3,4.7135
407,BF2,4.8986
408,BF3,8.1347
409,BF3,8.2939
410,BH10C2N,5.7052
411,BH10C2N5O3,4.5377
412,BH10C3NF4,7.2814
413,BH11C4BrNF4,5.1175999999999995
414,BH11C4NClF4,6.373200000000001
415,BH12C3N,5.645300000000001
416,BH12N4F3,4.9249
417,BH17C5N2,4.2447
418,BH17C6NCl,5.0663
419,BH2CN,4.8878
420,BH2CO,4.0087
421,BH2N,5.2948
422,BH2NCl2,5.8178
423,BH2OF3,7.567699999999999
424,BH3,5.3252
425,BH3NF3,7.7194
426,BH3NF4,7.5583
427,BH3OF4,7.657299999999999
428,BH4C4N5,6.3532
429,BH4N,5.732799999999999
430,BH4N,5.9404
431,BH4NF4,7.481199999999999
432,BH4O2F3,6.8268
433,BH5(NF2)2,6.5929
434,BH5(OF2)2,7.263999999999999
435,BH5CN2,5.4699
436,BH5NCl,5.4121
437,BH6C2N5F4,4.3443000000000005
438,BH6CN3F4,5.6634
439,BH6N,6.0173000000000005
440,BH6N,5.9894
441,BH6N,6.1085
442,BH6N,5.785299999999999
443,BH6N,5.5053
444,BH6N,6.2446
445,BH6N,5.9101
446,BH7C2N4OF4,5.0921
447,BH7N2,5.6370000000000005
448,BH8CN,6.158
449,BH8N,5.6111
450,BH9(CO)3,5.2043
451,BH9(CO)3,5.7775
452,BHN4,4.359
453,BHO2,6.2786
454,BHO2,6.3043
455,BHO2,7.0739
456,BHS3O11,5.696299999999999
457,BN,4.3887
458,BN,4.7783
459,BN,4.4506
460,BN,5.1975999999999996
461,BN,4.3683
462,BN,5.7747
463,BN,4.273999999999999
464,BP(H3N)3,4.9115
465,BP4(HO2)3,4.364
466,BPH4NO4F,5.8383
467,BPH9C2,5.6154
468,BPO4,6.998399999999999
469,BPO4,7.2565
470,BPPbO5,4.2593000000000005
471,BS2N2OF7,4.9587
472,BSF7,4.9968
473,Ba(AlCl4)2,5.3891
474,Ba(BH)12,5.8133
475,Ba(BH4)2,5.6574
476,Ba(BO2)2,4.522399999999999
477,Ba(BO2)2,4.7852
478,Ba(BrO3)2,4.3458
479,Ba(BrO3)2,4.1953
480,Ba(ClO3)2,5.2826
481,Ba(ClO4)2,5.4454
482,Ba(H8O5)2,4.1036
483,Ba(HO)2,4.3643
484,Ba(HO)2,4.6229000000000005
485,Ba(HO)2,4.1201
486,Ba(HO)2,4.181
487,Ba(HO)2,4.1979
488,Ba(HO)2,4.1934000000000005
489,Ba(HO)2,4.109
490,Ba(PO3)2,5.2784
491,Ba(PO3)2,5.4507
492,Ba11B26P2(H3O29)2,4.487
493,Ba12Br3Cl2F19,5.5636
494,Ba12Cl5F19,5.980499999999999
495,Ba13B30(PbO30)2,4.0522
496,Ba16S16O59,4.7474
497,Ba2AlNi2F11,4.2505
498,Ba2AlSn2F11,4.128699999999999
499,Ba2AlZnF9,5.658799999999999
500,Ba2B10O17,5.6719
